name,price,rating,reviews_count,source,brand,type,packaging,price_tier
Unknown,950.0,0,0,alfatah.com.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,1250.0,0,0,alfatah.com.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,2350.0,0,0,alfatah.com.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,2100.0,0,0,alfatah.com.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,1800.0,0,0,alfatah.com.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,450.0,0,0,alfatah.com.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,850.0,0,0,alfatah.com.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,1550.0,0,0,alfatah.com.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,750.0,0,0,alfatah.com.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,1950.0,0,0,alfatah.com.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,950.0,0,0,naheed.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,1250.0,0,0,naheed.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,2350.0,0,0,naheed.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,2100.0,0,0,naheed.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,1800.0,0,0,naheed.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,450.0,0,0,naheed.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,850.0,0,0,naheed.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,1550.0,0,0,naheed.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
Unknown,750.0,0,0,naheed.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",low
Unknown,1950.0,0,0,naheed.pk,Unknown,instant,"{'value': 0, 'unit': 'unknown', 'display': 'unknown'}",mid
